Position,Teams,Goals Scored,Goals Conceded,Shots on Target per Match,Possession (%),xG,xG Conceded,Accurate Passes per Match,Corners,Big Chances Created,Big Chances Missed,Fouls per Match,Yellow Cards,Red Cards,Shots,Clean Sheets,Games Played,Points,Offensive Strength,Defensive Strength,Adjusted Possession,Discipline Risk,Games Won,Games Drawn,Games Lost,Goals Scored Simulated,Goals Conceded Simulated,Goal Difference,Simulation
1,Arsenal,18.0,12.0,4.9,50.2,17.3,12.5,371.8,72.0,37.0,25.0,12.6,29.0,3.0,171.0,28.0,12.0,28.0,1.5,1.0,186.6436,2.916666666666666,0.0,28.0,0.0,0.0,0.0,0.0,6.0
2,Aston Villa,17.0,17.0,3.9,50.6,16.8,14.8,383.3,72.0,41.0,28.0,12.4,30.0,1.0,153.0,28.0,12.0,28.0,1.4166666666666667,1.4166666666666667,193.94979999999998,2.6666666666666665,0.0,28.0,0.0,0.0,0.0,0.0,6.0
3,Chelsea,23.0,14.0,5.3,55.6,22.5,16.3,435.7,73.0,37.0,22.0,11.6,45.0,0.0,170.0,28.0,12.0,28.0,1.916666666666667,1.1666666666666667,242.24919999999995,3.75,0.0,28.0,0.0,0.0,0.0,0.0,6.0
4,Ipswich Town,12.0,22.0,3.0,40.6,10.2,24.6,283.7,54.0,23.0,12.0,12.6,31.0,2.0,108.0,28.0,11.0,28.0,1.0909090909090908,2.0,115.18219999999998,3.1818181818181817,0.0,28.0,0.0,0.0,0.0,0.0,6.0
5,Leicester City,15.0,23.0,3.2,46.6,12.4,23.2,332.1,54.0,25.0,15.0,11.4,34.0,0.0,117.0,28.0,12.0,28.0,1.25,1.916666666666667,154.75860000000003,2.8333333333333335,0.0,28.0,0.0,0.0,0.0,0.0,6.0
6,Liverpool,21.0,6.0,6.0,57.4,20.5,9.5,462.6,63.0,41.0,24.0,11.8,21.0,0.0,155.0,28.0,11.0,28.0,1.9090909090909092,0.5454545454545454,265.5324,1.9090909090909092,0.0,28.0,0.0,0.0,0.0,0.0,6.0
7,Manchester United,12.0,12.0,5.2,52.1,17.5,14.8,417.5,61.0,32.0,26.0,11.3,33.0,1.0,154.0,28.0,11.0,28.0,1.0909090909090908,1.0909090909090908,217.5175,3.1818181818181817,0.0,28.0,0.0,0.0,0.0,0.0,6.0
8,Newcastle United,13.0,13.0,4.2,48.9,16.5,14.0,352.5,61.0,23.0,23.0,11.3,27.0,1.0,139.0,28.0,11.0,28.0,1.1818181818181819,1.1818181818181819,172.3725,2.6363636363636362,0.0,28.0,0.0,0.0,0.0,0.0,6.0
9,Nottingham Forest,15.0,13.0,5.2,41.6,14.6,12.8,280.6,59.0,28.0,20.0,11.2,28.0,2.0,164.0,28.0,12.0,28.0,1.25,1.0833333333333333,116.72959999999999,2.666666666666667,0.0,28.0,0.0,0.0,0.0,0.0,6.0
10,Tottenham Hotspur,23.0,13.0,6.3,61.7,21.7,13.2,456.9,102.0,36.0,24.0,11.8,26.0,0.0,189.0,28.0,11.0,28.0,2.090909090909091,1.1818181818181819,281.9073,2.3636363636363638,0.0,28.0,0.0,0.0,0.0,0.0,6.0
11,Bournemouth,15.0,15.0,4.7,44.2,19.0,15.7,303.8,76.0,35.0,20.0,13.8,34.0,0.0,186.0,27.0,12.0,27.0,1.25,1.25,134.27960000000002,2.8333333333333335,0.0,27.0,0.0,0.0,0.0,0.0,6.0
12,Brentford,22.0,22.0,5.4,47.1,18.3,20.9,342.3,53.0,37.0,22.0,13.8,17.0,1.0,132.0,27.0,12.0,27.0,1.833333333333333,1.833333333333333,161.22330000000002,1.5833333333333335,0.0,27.0,0.0,0.0,0.0,0.0,6.0
13,Brighton & Hove Albion,19.0,15.0,4.7,54.1,16.5,19.9,402.8,60.0,36.0,18.0,11.1,27.0,1.0,165.0,27.0,12.0,27.0,1.583333333333333,1.25,217.91479999999999,2.4166666666666665,0.0,27.0,0.0,0.0,0.0,0.0,6.0
14,Crystal Palace,8.0,15.0,4.9,45.9,14.0,19.6,310.3,56.0,30.0,18.0,10.9,27.0,1.0,171.0,27.0,12.0,27.0,0.6666666666666666,1.25,142.42770000000002,2.4166666666666665,0.0,27.0,0.0,0.0,0.0,0.0,6.0
15,Everton,10.0,17.0,3.9,38.7,12.2,17.2,271.8,55.0,21.0,16.0,10.9,18.0,1.0,158.0,27.0,12.0,27.0,0.8333333333333335,1.4166666666666667,105.18660000000001,1.666666666666667,0.0,27.0,0.0,0.0,0.0,0.0,6.0
16,Fulham,16.0,13.0,5.5,53.5,17.1,17.1,417.3,54.0,35.0,17.0,10.9,19.0,1.0,182.0,27.0,12.0,27.0,1.3333333333333333,1.0833333333333333,223.25549999999996,1.75,0.0,27.0,0.0,0.0,0.0,0.0,6.0
17,Manchester City,22.0,13.0,6.7,64.1,22.3,13.4,581.5,102.0,32.0,20.0,7.2,23.0,0.0,212.0,27.0,11.0,27.0,2.0,1.1818181818181819,372.7414999999999,2.090909090909091,0.0,27.0,0.0,0.0,0.0,0.0,6.0
18,Southampton,7.0,21.0,3.1,38.7,12.1,23.0,271.8,41.0,21.0,15.0,11.8,37.0,2.0,113.0,27.0,11.0,27.0,0.6363636363636364,1.9090909090909092,105.18660000000001,3.727272727272727,0.0,27.0,0.0,0.0,0.0,0.0,6.0
19,West Ham United,13.0,19.0,4.5,45.6,15.7,18.7,332.5,54.0,25.0,17.0,13.0,27.0,2.0,148.0,27.0,11.0,27.0,1.1818181818181819,1.7272727272727273,151.62,2.8181818181818183,0.0,27.0,0.0,0.0,0.0,0.0,6.0
20,Wolverhampton Wanderers,16.0,27.0,4.3,44.4,11.7,21.1,308.3,37.0,22.0,22.0,13.1,27.0,0.0,125.0,27.0,12.0,27.0,1.3333333333333333,2.25,136.8852,2.25,0.0,27.0,0.0,0.0,0.0,0.0,6.0
