HomeTeam,AwayTeam
Arsenal,Nottingham Forest
Nottingham Forest,Ipswich Town
Liverpool,Fulham
Leicester City,Chelsea
Manchester City,Tottenham Hotspur
Ipswich Town,Manchester United
Newcastle United,West Ham United
Brighton & Hove Albion,Southampton
Brentford,Leicester City
West Ham United,Arsenal
Tottenham Hotspur,Fulham
Chelsea,Aston Villa
Liverpool,Manchester City
Wolverhampton Wanderers,Ipswich Town
Arsenal,Everton
Leicester City,Wolverhampton Wanderers
Southampton,Liverpool
Crystal Palace,Newcastle United
Manchester United,Everton
Fulham,Ipswich Town
Southampton,Brentford
Liverpool,Ipswich Town
Fulham,Liverpool
Leicester City,Newcastle United
Arsenal,Crystal Palace
Liverpool,Tottenham Hotspur
Newcastle United,Everton
Nottingham Forest,Chelsea
Brighton & Hove Albion,Crystal Palace
Bournemouth,West Ham United
Newcastle United,Leicester City
Chelsea,Brentford
Ipswich Town,Southampton
Bournemouth,Manchester United
Wolverhampton Wanderers,Brentford
Liverpool,Aston Villa
Manchester United,Leicester City
Tottenham Hotspur,Ipswich Town
Chelsea,Arsenal
Arsenal,Manchester United
Aston Villa,Brentford
Ipswich Town,Crystal Palace
Nottingham Forest,Newcastle United
Aston Villa,Crystal Palace
Bournemouth,Brighton & Hove Albion
Everton,Brentford
Fulham,Wolverhampton Wanderers
Wolverhampton Wanderers,Bournemouth
Brentford,Newcastle United
Crystal Palace,Manchester City
Brentford,Nottingham Forest
Manchester United,Bournemouth
Ipswich Town,Newcastle United
West Ham United,Brighton & Hove Albion
Wolverhampton Wanderers,Manchester United
Fulham,Chelsea
Ipswich Town,Arsenal
Manchester United,Wolverhampton Wanderers
Tottenham Hotspur,Nottingham Forest
Brighton & Hove Albion,West Ham United
Chelsea,Everton
Manchester City,Aston Villa
Chelsea,Fulham
Aston Villa,Brighton & Hove Albion
Brentford,Arsenal
Crystal Palace,Southampton
Everton,Nottingham Forest
Fulham,Bournemouth
Leicester City,Manchester City
Newcastle United,Ipswich Town
Tottenham Hotspur,Wolverhampton Wanderers
Bournemouth,Everton
Crystal Palace,Chelsea
Manchester City,West Ham United
Nottingham Forest,Liverpool
Newcastle United,Wolverhampton Wanderers
Brentford,Liverpool
Ipswich Town,Manchester City
Leicester City,Fulham
Nottingham Forest,Southampton
West Ham United,Crystal Palace
Aston Villa,Fulham
Brentford,Manchester United
Manchester United,West Ham United
Brighton & Hove Albion,Everton
Southampton,Newcastle United
Wolverhampton Wanderers,Arsenal
Bournemouth,Liverpool
Brentford,Tottenham Hotspur
Chelsea,West Ham United
Everton,Leicester City
Newcastle United,Fulham
Nottingham Forest,Brighton & Hove Albion
Wolverhampton Wanderers,Aston Villa
Aston Villa,Ipswich Town
Brighton & Hove Albion,Chelsea
Crystal Palace,Everton
Fulham,Nottingham Forest
Leicester City,Arsenal
Southampton,Brighton & Hove Albion
Liverpool,Wolverhampton Wanderers
Manchester City,Newcastle United
Southampton,Bournemouth
Tottenham Hotspur,Manchester United
West Ham United,Brentford
Aston Villa,Chelsea
Arsenal,West Ham United
Bournemouth,Wolverhampton Wanderers
Everton,Manchester United
Fulham,Crystal Palace
Leicester City,Brentford
Manchester City,Liverpool
Newcastle United,Nottingham Forest
Brighton & Hove Albion,Bournemouth
Nottingham Forest,Arsenal
West Ham United,Leicester City
Tottenham Hotspur,Manchester City
Crystal Palace,Aston Villa
Chelsea,Southampton
Liverpool,Newcastle United
Manchester United,Ipswich Town
Brentford,Aston Villa
Brighton & Hove Albion,Fulham
Chelsea,Leicester City
Crystal Palace,Ipswich Town
Liverpool,Southampton
Manchester United,Arsenal
Nottingham Forest,Manchester City
Tottenham Hotspur,Bournemouth
West Ham United,Newcastle United
Wolverhampton Wanderers,Everton
Aston Villa,Liverpool
Bournemouth,Brentford
Everton,West Ham United
Fulham,Tottenham Hotspur
Ipswich Town,Nottingham Forest
Leicester City,Manchester United
Manchester City,Brighton & Hove Albion
Newcastle United,Crystal Palace
Southampton,Wolverhampton Wanderers
Arsenal,Fulham
Bournemouth,Ipswich Town
Brighton & Hove Albion,Aston Villa
Southampton,Crystal Palace
Nottingham Forest,Manchester United
Wolverhampton Wanderers,West Ham United
Chelsea,Tottenham Hotspur
Manchester City,Leicester City
Newcastle United,Brentford
Liverpool,Everton
Brentford,Chelsea
Crystal Palace,Brighton & Hove Albion
Everton,Arsenal
Ipswich Town,Wolverhampton Wanderers
Manchester United,Manchester City
West Ham United,Bournemouth
Brentford,Brighton & Hove Albion
Arsenal,Brentford
Bournemouth,Fulham
Brighton & Hove Albion,Leicester City
Chelsea,Ipswich Town
Liverpool,West Ham United
Manchester City,Crystal Palace
Newcastle United,Manchester United
Nottingham Forest,Everton
Southampton,Aston Villa
Wolverhampton Wanderers,Tottenham Hotspur
Crystal Palace,Bournemouth
