HomeTeam,AwayTeam,SimulatedHomeScore,SimulatedAwayScore,MatchResult
Arsenal,Nottingham Forest,1.0,0.0,HomeWin
Nottingham Forest,Ipswich Town,0.0,1.0,AwayWin
Liverpool,Fulham,0.0,0.0,Draw
Leicester City,Chelsea,1.0,0.0,HomeWin
Manchester City,Tottenham Hotspur,0.0,1.0,AwayWin
Ipswich Town,Manchester United,2.0,0.0,HomeWin
Newcastle United,West Ham United,0.0,1.0,AwayWin
Brighton & Hove Albion,Southampton,1.0,0.0,HomeWin
Brentford,Leicester City,0.0,1.0,AwayWin
West Ham United,Arsenal,1.0,0.0,HomeWin
Tottenham Hotspur,Fulham,0.0,0.0,Draw
Chelsea,Aston Villa,0.0,0.0,Draw
Liverpool,Manchester City,0.0,2.0,AwayWin
Wolverhampton Wanderers,Ipswich Town,1.0,0.0,HomeWin
Arsenal,Everton,3.0,0.0,HomeWin
Leicester City,Wolverhampton Wanderers,0.0,1.0,AwayWin
Southampton,Liverpool,0.0,0.0,Draw
Crystal Palace,Newcastle United,0.0,0.0,Draw
Manchester United,Everton,0.0,0.0,Draw
Fulham,Ipswich Town,1.0,1.0,Draw
Southampton,Brentford,0.0,0.0,Draw
Liverpool,Ipswich Town,1.0,2.0,AwayWin
Fulham,Liverpool,0.0,0.0,Draw
Leicester City,Newcastle United,0.0,0.0,Draw
Arsenal,Crystal Palace,0.0,0.0,Draw
Liverpool,Tottenham Hotspur,0.0,0.0,Draw
Newcastle United,Everton,0.0,0.0,Draw
Nottingham Forest,Chelsea,0.0,1.0,AwayWin
Brighton & Hove Albion,Crystal Palace,1.0,0.0,HomeWin
Bournemouth,West Ham United,0.0,1.0,AwayWin
Newcastle United,Leicester City,0.0,0.0,Draw
Chelsea,Brentford,0.0,0.0,Draw
Ipswich Town,Southampton,2.0,0.0,HomeWin
Bournemouth,Manchester United,0.0,1.0,AwayWin
Wolverhampton Wanderers,Brentford,0.0,4.0,AwayWin
Liverpool,Aston Villa,0.0,0.0,Draw
Manchester United,Leicester City,0.0,1.0,AwayWin
Tottenham Hotspur,Ipswich Town,0.0,0.0,Draw
Chelsea,Arsenal,1.0,2.0,AwayWin
Arsenal,Manchester United,0.0,0.0,Draw
Aston Villa,Brentford,0.0,0.0,Draw
Ipswich Town,Crystal Palace,1.0,0.0,HomeWin
Nottingham Forest,Newcastle United,0.0,0.0,Draw
Aston Villa,Crystal Palace,0.0,1.0,AwayWin
Bournemouth,Brighton & Hove Albion,0.0,0.0,Draw
Everton,Brentford,0.0,1.0,AwayWin
Fulham,Wolverhampton Wanderers,1.0,0.0,HomeWin
Wolverhampton Wanderers,Bournemouth,0.0,0.0,Draw
Brentford,Newcastle United,1.0,1.0,Draw
Crystal Palace,Manchester City,1.0,0.0,HomeWin
Brentford,Nottingham Forest,2.0,0.0,HomeWin
Manchester United,Bournemouth,0.0,0.0,Draw
Ipswich Town,Newcastle United,0.0,0.0,Draw
West Ham United,Brighton & Hove Albion,0.0,0.0,Draw
Wolverhampton Wanderers,Manchester United,0.0,0.0,Draw
Fulham,Chelsea,0.0,1.0,AwayWin
Ipswich Town,Arsenal,0.0,0.0,Draw
Manchester United,Wolverhampton Wanderers,0.0,1.0,AwayWin
Tottenham Hotspur,Nottingham Forest,0.0,0.0,Draw
Brighton & Hove Albion,West Ham United,0.0,1.0,AwayWin
Chelsea,Everton,1.0,0.0,HomeWin
Manchester City,Aston Villa,1.0,1.0,Draw
Chelsea,Fulham,0.0,0.0,Draw
Aston Villa,Brighton & Hove Albion,0.0,0.0,Draw
Brentford,Arsenal,1.0,0.0,HomeWin
Crystal Palace,Southampton,1.0,0.0,HomeWin
Everton,Nottingham Forest,0.0,1.0,AwayWin
Fulham,Bournemouth,0.0,1.0,AwayWin
Leicester City,Manchester City,0.0,0.0,Draw
Newcastle United,Ipswich Town,0.0,1.0,AwayWin
Tottenham Hotspur,Wolverhampton Wanderers,2.0,1.0,HomeWin
Bournemouth,Everton,0.0,1.0,AwayWin
Crystal Palace,Chelsea,0.0,1.0,AwayWin
Manchester City,West Ham United,1.0,2.0,AwayWin
Nottingham Forest,Liverpool,0.0,0.0,Draw
Newcastle United,Wolverhampton Wanderers,0.0,0.0,Draw
Brentford,Liverpool,2.0,0.0,HomeWin
Ipswich Town,Manchester City,1.0,1.0,Draw
Leicester City,Fulham,0.0,1.0,AwayWin
Nottingham Forest,Southampton,0.0,0.0,Draw
West Ham United,Crystal Palace,0.0,0.0,Draw
Aston Villa,Fulham,1.0,0.0,HomeWin
Brentford,Manchester United,0.0,0.0,Draw
Manchester United,West Ham United,0.0,0.0,Draw
Brighton & Hove Albion,Everton,0.0,1.0,AwayWin
Southampton,Newcastle United,0.0,0.0,Draw
Wolverhampton Wanderers,Arsenal,0.0,2.0,AwayWin
Bournemouth,Liverpool,1.0,1.0,Draw
Brentford,Tottenham Hotspur,0.0,1.0,AwayWin
Chelsea,West Ham United,2.0,0.0,HomeWin
Everton,Leicester City,1.0,0.0,HomeWin
Newcastle United,Fulham,0.0,1.0,AwayWin
Nottingham Forest,Brighton & Hove Albion,0.0,1.0,AwayWin
Wolverhampton Wanderers,Aston Villa,1.0,3.0,AwayWin
Aston Villa,Ipswich Town,1.0,2.0,AwayWin
Brighton & Hove Albion,Chelsea,1.0,0.0,HomeWin
Crystal Palace,Everton,0.0,0.0,Draw
Fulham,Nottingham Forest,0.0,0.0,Draw
Leicester City,Arsenal,1.0,0.0,HomeWin
Southampton,Brighton & Hove Albion,0.0,0.0,Draw
Liverpool,Wolverhampton Wanderers,1.0,0.0,HomeWin
Manchester City,Newcastle United,1.0,1.0,Draw
Southampton,Bournemouth,0.0,1.0,AwayWin
Tottenham Hotspur,Manchester United,1.0,1.0,Draw
West Ham United,Brentford,1.0,0.0,HomeWin
Aston Villa,Chelsea,2.0,1.0,HomeWin
Arsenal,West Ham United,0.0,0.0,Draw
Bournemouth,Wolverhampton Wanderers,0.0,0.0,Draw
Everton,Manchester United,0.0,0.0,Draw
Fulham,Crystal Palace,1.0,1.0,Draw
Leicester City,Brentford,0.0,4.0,AwayWin
Manchester City,Liverpool,1.0,2.0,AwayWin
Newcastle United,Nottingham Forest,0.0,1.0,AwayWin
Brighton & Hove Albion,Bournemouth,0.0,0.0,Draw
Nottingham Forest,Arsenal,0.0,1.0,AwayWin
West Ham United,Leicester City,2.0,1.0,HomeWin
Tottenham Hotspur,Manchester City,1.0,4.0,AwayWin
Crystal Palace,Aston Villa,0.0,1.0,AwayWin
Chelsea,Southampton,0.0,0.0,Draw
Liverpool,Newcastle United,2.0,0.0,HomeWin
Manchester United,Ipswich Town,1.0,0.0,HomeWin
Brentford,Aston Villa,2.0,1.0,HomeWin
Brighton & Hove Albion,Fulham,1.0,0.0,HomeWin
Chelsea,Leicester City,0.0,0.0,Draw
Crystal Palace,Ipswich Town,0.0,0.0,Draw
Liverpool,Southampton,1.0,1.0,Draw
Manchester United,Arsenal,0.0,0.0,Draw
Nottingham Forest,Manchester City,0.0,1.0,AwayWin
Tottenham Hotspur,Bournemouth,0.0,0.0,Draw
West Ham United,Newcastle United,1.0,0.0,HomeWin
Wolverhampton Wanderers,Everton,1.0,1.0,Draw
Aston Villa,Liverpool,0.0,2.0,AwayWin
Bournemouth,Brentford,2.0,0.0,HomeWin
Everton,West Ham United,0.0,1.0,AwayWin
Fulham,Tottenham Hotspur,0.0,0.0,Draw
Ipswich Town,Nottingham Forest,0.0,1.0,AwayWin
Leicester City,Manchester United,2.0,0.0,HomeWin
Manchester City,Brighton & Hove Albion,2.0,0.0,HomeWin
Newcastle United,Crystal Palace,0.0,1.0,AwayWin
Southampton,Wolverhampton Wanderers,0.0,1.0,AwayWin
Arsenal,Fulham,2.0,0.0,HomeWin
Bournemouth,Ipswich Town,2.0,1.0,HomeWin
Brighton & Hove Albion,Aston Villa,0.0,2.0,AwayWin
Southampton,Crystal Palace,1.0,1.0,Draw
Nottingham Forest,Manchester United,0.0,2.0,AwayWin
Wolverhampton Wanderers,West Ham United,1.0,0.0,HomeWin
Chelsea,Tottenham Hotspur,0.0,2.0,AwayWin
Manchester City,Leicester City,1.0,0.0,HomeWin
Newcastle United,Brentford,0.0,1.0,AwayWin
Liverpool,Everton,0.0,0.0,Draw
Brentford,Chelsea,1.0,0.0,HomeWin
Crystal Palace,Brighton & Hove Albion,0.0,0.0,Draw
Everton,Arsenal,0.0,1.0,AwayWin
Ipswich Town,Wolverhampton Wanderers,0.0,0.0,Draw
Manchester United,Manchester City,1.0,0.0,HomeWin
West Ham United,Bournemouth,0.0,1.0,AwayWin
Brentford,Brighton & Hove Albion,1.0,2.0,AwayWin
Arsenal,Brentford,1.0,3.0,AwayWin
Bournemouth,Fulham,1.0,2.0,AwayWin
Brighton & Hove Albion,Leicester City,0.0,0.0,Draw
Chelsea,Ipswich Town,2.0,1.0,HomeWin
Liverpool,West Ham United,0.0,1.0,AwayWin
Manchester City,Crystal Palace,1.0,0.0,HomeWin
Newcastle United,Manchester United,0.0,0.0,Draw
Nottingham Forest,Everton,2.0,0.0,HomeWin
Southampton,Aston Villa,1.0,1.0,Draw
Wolverhampton Wanderers,Tottenham Hotspur,0.0,0.0,Draw
Crystal Palace,Bournemouth,0.0,0.0,Draw
Everton,Manchester City,1.0,2.0,AwayWin
Leicester City,Liverpool,0.0,0.0,Draw
Nottingham Forest,Brentford,3.0,1.0,HomeWin
Southampton,Fulham,1.0,1.0,Draw
Wolverhampton Wanderers,Leicester City,1.0,0.0,HomeWin
Chelsea,Liverpool,0.0,0.0,Draw
Brighton & Hove Albion,Newcastle United,1.0,2.0,AwayWin
Crystal Palace,Nottingham Forest,0.0,1.0,AwayWin
Everton,Ipswich Town,0.0,0.0,Draw
Leicester City,Southampton,2.0,1.0,HomeWin
Manchester City,Wolverhampton Wanderers,0.0,1.0,AwayWin
Fulham,Everton,1.0,0.0,HomeWin
Ipswich Town,Brentford,3.0,1.0,HomeWin
Liverpool,Arsenal,0.0,0.0,Draw
Nottingham Forest,Leicester City,0.0,1.0,AwayWin
Newcastle United,Chelsea,0.0,1.0,AwayWin
Southampton,Manchester City,0.0,0.0,Draw
Tottenham Hotspur,Crystal Palace,2.0,0.0,HomeWin
Aston Villa,Tottenham Hotspur,1.0,2.0,AwayWin
Brentford,Fulham,1.0,0.0,HomeWin
Chelsea,Manchester United,0.0,1.0,AwayWin
Brighton & Hove Albion,Liverpool,0.0,1.0,AwayWin
Everton,Southampton,1.0,1.0,Draw
Leicester City,Ipswich Town,0.0,4.0,AwayWin
Manchester City,Bournemouth,0.0,1.0,AwayWin
West Ham United,Nottingham Forest,1.0,0.0,HomeWin
Bournemouth,Leicester City,1.0,0.0,HomeWin
Fulham,Manchester City,1.0,0.0,HomeWin
Ipswich Town,West Ham United,0.0,0.0,Draw
Liverpool,Crystal Palace,2.0,0.0,HomeWin
Manchester United,Aston Villa,1.0,1.0,Draw
Southampton,Arsenal,0.0,1.0,AwayWin
Tottenham Hotspur,Brighton & Hove Albion,1.0,0.0,HomeWin
Brentford,Manchester City,2.0,0.0,HomeWin
Chelsea,Bournemouth,1.0,1.0,Draw
Leicester City,Crystal Palace,0.0,0.0,Draw
Leicester City,West Ham United,1.0,0.0,HomeWin
Newcastle United,Liverpool,0.0,0.0,Draw
Everton,Wolverhampton Wanderers,0.0,1.0,AwayWin
Manchester City,Nottingham Forest,1.0,1.0,Draw
Southampton,Chelsea,0.0,0.0,Draw
Fulham,Brighton & Hove Albion,0.0,1.0,AwayWin
Bournemouth,Tottenham Hotspur,1.0,2.0,AwayWin
Manchester United,Nottingham Forest,0.0,0.0,Draw
Everton,Liverpool,0.0,2.0,AwayWin
Aston Villa,Southampton,0.0,0.0,Draw
Fulham,Arsenal,1.0,1.0,Draw
Leicester City,Brighton & Hove Albion,1.0,0.0,HomeWin
Ipswich Town,Bournemouth,0.0,1.0,AwayWin
Tottenham Hotspur,Chelsea,0.0,1.0,AwayWin
Nottingham Forest,Aston Villa,0.0,3.0,AwayWin
West Ham United,Wolverhampton Wanderers,1.0,2.0,AwayWin
Manchester City,Manchester United,0.0,1.0,AwayWin
Southampton,Tottenham Hotspur,0.0,1.0,AwayWin
Aston Villa,Manchester City,2.0,1.0,HomeWin
Crystal Palace,Arsenal,0.0,0.0,Draw
Everton,Chelsea,2.0,1.0,HomeWin
Fulham,Southampton,0.0,1.0,AwayWin
Tottenham Hotspur,Liverpool,3.0,1.0,HomeWin
Manchester City,Everton,2.0,0.0,HomeWin
Southampton,West Ham United,0.0,0.0,Draw
Newcastle United,Aston Villa,0.0,3.0,AwayWin
Nottingham Forest,Tottenham Hotspur,1.0,2.0,AwayWin
Bournemouth,Crystal Palace,0.0,0.0,Draw
Liverpool,Leicester City,0.0,1.0,AwayWin
Brighton & Hove Albion,Brentford,2.0,0.0,HomeWin
Arsenal,Ipswich Town,0.0,2.0,AwayWin
West Ham United,Liverpool,0.0,0.0,Draw
Aston Villa,Leicester City,0.0,1.0,AwayWin
Brighton & Hove Albion,Arsenal,0.0,1.0,AwayWin
Ipswich Town,Chelsea,0.0,0.0,Draw
Manchester United,Newcastle United,0.0,0.0,Draw
Tottenham Hotspur,Newcastle United,0.0,0.0,Draw
Fulham,Manchester United,0.0,0.0,Draw
Liverpool,Manchester United,1.0,1.0,Draw
Wolverhampton Wanderers,Nottingham Forest,2.0,1.0,HomeWin
West Ham United,Fulham,0.0,1.0,AwayWin
Everton,Aston Villa,2.0,1.0,HomeWin
Ipswich Town,Brighton & Hove Albion,1.0,0.0,HomeWin
Arsenal,Tottenham Hotspur,1.0,2.0,AwayWin
Manchester United,Southampton,1.0,0.0,HomeWin
Newcastle United,Bournemouth,1.0,0.0,HomeWin
Arsenal,Aston Villa,1.0,2.0,AwayWin
Everton,Tottenham Hotspur,0.0,2.0,AwayWin
Manchester United,Brighton & Hove Albion,0.0,3.0,AwayWin
Manchester City,Chelsea,1.0,0.0,HomeWin
Chelsea,Wolverhampton Wanderers,2.0,1.0,HomeWin
Bournemouth,Nottingham Forest,1.0,0.0,HomeWin
Crystal Palace,Brentford,0.0,1.0,AwayWin
Tottenham Hotspur,Leicester City,2.0,1.0,HomeWin
Aston Villa,West Ham United,1.0,0.0,HomeWin
Manchester United,Crystal Palace,1.0,0.0,HomeWin
Arsenal,Manchester City,0.0,1.0,AwayWin
Ipswich Town,Tottenham Hotspur,1.0,2.0,AwayWin
Wolverhampton Wanderers,Fulham,2.0,1.0,HomeWin
Brentford,Everton,0.0,1.0,AwayWin
Arsenal,Chelsea,0.0,3.0,AwayWin
Tottenham Hotspur,Southampton,5.0,0.0,HomeWin
Aston Villa,Nottingham Forest,0.0,1.0,AwayWin
Aston Villa,Newcastle United,2.0,2.0,Draw
West Ham United,Southampton,0.0,0.0,Draw
Wolverhampton Wanderers,Brighton & Hove Albion,1.0,0.0,HomeWin
West Ham United,Tottenham Hotspur,0.0,1.0,AwayWin
Arsenal,Bournemouth,0.0,0.0,Draw
Crystal Palace,Wolverhampton Wanderers,0.0,1.0,AwayWin
Bournemouth,Aston Villa,0.0,2.0,AwayWin
Arsenal,Newcastle United,3.0,0.0,HomeWin
